Age,PriorConvictions,MentalHealth,DrugUse,EmploymentStatus,CrimeType,Reoffend
24,2,In Recovery,Occasional,Unemployed,Murder,0
40,89,None,Dealer,Full-Time,Dacoity,1
49,100,None,Frequent,Full-Time,Theft,1
60,99,Undiagnosed,Never,Unemployed,Cybercrime,1
23,79,Severe,Occasional,Full-Time,Kidnapping,1
36,74,Undiagnosed,Addicted,Full-Time,Murder,1
32,46,None,Dealer,Criminal Income,Rape,1
19,67,None,Frequent,Part-Time,Dacoity,1
72,70,None,Dealer,Unemployed,Other,1
9,78,Mild,Never,Criminal Income,Cybercrime,1
59,15,Mild,Dealer,Part-Time,Other,1
29,6,Severe,Frequent,Unemployed,Dacoity,1
37,100,In Recovery,Never,Part-Time,Theft,1
50,90,Severe,Occasional,Unemployed,Drug Offense,1
76,26,None,Not Found,Unemployed,Rape,1
65,1,Severe,Not Found,Full-Time,Fraud,0
62,28,Undiagnosed,Frequent,Full-Time,Kidnapping,1
51,64,In Recovery,Dealer,Full-Time,Other,1
9,49,Mild,Addicted,Unemployed,Other,1
29,15,Severe,Occasional,Full-Time,Fraud,0
42,24,Mild,Never,Full-Time,Assault,0
17,28,None,Dealer,Part-Time,Assault,1
19,60,None,Dealer,Unemployed,Fraud,1
33,86,Undiagnosed,Addicted,Full-Time,Other,1
64,69,None,Dealer,Full-Time,Kidnapping,1
31,34,In Recovery,Never,Full-Time,Murder,0
79,47,Severe,Not Found,Unemployed,Assault,1
55,34,None,Dealer,Full-Time,Kidnapping,1
80,27,Mild,Occasional,Unemployed,Fraud,1
24,74,Undiagnosed,Dealer,Full-Time,Assault,1
33,99,Mild,Frequent,Unemployed,Murder,1
41,84,Mild,Never,Unemployed,Kidnapping,1
22,66,In Recovery,Frequent,Full-Time,Other,1
74,14,Severe,Not Found,Full-Time,Kidnapping,1
34,81,Undiagnosed,Addicted,Criminal Income,Assault,1
54,16,In Recovery,Not Found,Part-Time,Assault,0
73,41,Mild,Occasional,Part-Time,Fraud,1
70,68,In Recovery,Dealer,Unemployed,Other,1
47,73,None,Never,Full-Time,Murder,1
72,71,In Recovery,Addicted,Part-Time,Kidnapping,1
66,37,In Recovery,Occasional,Unemployed,Cybercrime,1
60,55,Undiagnosed,Never,Criminal Income,Fraud,1
73,69,In Recovery,Frequent,Part-Time,Murder,1
74,13,In Recovery,Not Found,Unemployed,Murder,1
23,45,Severe,Occasional,Criminal Income,Kidnapping,1
22,9,In Recovery,Never,Full-Time,Other,0
41,41,Severe,Dealer,Part-Time,Fraud,1
24,39,In Recovery,Frequent,Criminal Income,Fraud,1
42,1,None,Addicted,Part-Time,Rape,1
41,83,In Recovery,Addicted,Full-Time,Kidnapping,1
25,39,None,Occasional,Criminal Income,Theft,1
45,4,Severe,Not Found,Full-Time,Assault,0
56,36,Undiagnosed,Frequent,Criminal Income,Kidnapping,1
68,80,None,Dealer,Unemployed,Dacoity,1
17,31,Mild,Not Found,Full-Time,Rape,1
47,22,Mild,Not Found,Part-Time,Dacoity,0
78,91,Mild,Not Found,Part-Time,Rape,1
14,34,In Recovery,Addicted,Part-Time,Assault,1
20,55,Undiagnosed,Occasional,Full-Time,Dacoity,1
26,45,Severe,Occasional,Part-Time,Murder,1
61,32,Severe,Frequent,Part-Time,Dacoity,1
31,72,None,Addicted,Part-Time,Kidnapping,1
72,23,Severe,Not Found,Full-Time,Theft,1
38,4,None,Addicted,Criminal Income,Kidnapping,1
73,87,Severe,Occasional,Full-Time,Kidnapping,1
55,71,Severe,Not Found,Full-Time,Murder,1
58,58,In Recovery,Frequent,Criminal Income,Rape,1
23,57,None,Frequent,Part-Time,Rape,1
29,78,Undiagnosed,Never,Unemployed,Murder,1
57,81,In Recovery,Never,Part-Time,Kidnapping,1
40,31,Undiagnosed,Dealer,Criminal Income,Murder,1
48,59,Mild,Dealer,Part-Time,Fraud,1
37,84,Undiagnosed,Frequent,Unemployed,Other,1
36,6,None,Not Found,Full-Time,Kidnapping,0
65,39,Mild,Not Found,Full-Time,Drug Offense,1
22,20,Mild,Not Found,Part-Time,Other,0
37,30,Mild,Addicted,Criminal Income,Kidnapping,1
18,51,Mild,Frequent,Criminal Income,Murder,1
49,68,Undiagnosed,Never,Full-Time,Assault,1
39,3,In Recovery,Occasional,Unemployed,Theft,0
75,57,Severe,Frequent,Criminal Income,Fraud,1
12,34,Severe,Addicted,Full-Time,Kidnapping,1
16,64,Undiagnosed,Occasional,Full-Time,Other,1
52,36,In Recovery,Occasional,Part-Time,Murder,1
57,56,None,Addicted,Part-Time,Dacoity,1
26,74,In Recovery,Occasional,Criminal Income,Rape,1
23,84,Mild,Frequent,Criminal Income,Dacoity,1
14,92,Undiagnosed,Never,Part-Time,Fraud,1
50,12,Mild,Frequent,Full-Time,Drug Offense,0
29,97,Mild,Not Found,Criminal Income,Dacoity,1
41,17,None,Never,Unemployed,Other,0
49,61,None,Never,Full-Time,Other,0
31,82,Severe,Never,Unemployed,Murder,1
51,7,Undiagnosed,Frequent,Criminal Income,Fraud,1
32,38,None,Addicted,Full-Time,Fraud,1
43,92,In Recovery,Addicted,Part-Time,Assault,1
80,86,Mild,Dealer,Full-Time,Rape,1
33,30,Mild,Never,Unemployed,Theft,0
60,5,In Recovery,Frequent,Part-Time,Cybercrime,0
36,47,Undiagnosed,Frequent,Full-Time,Assault,1
49,100,Undiagnosed,Frequent,Criminal Income,Assault,1
35,68,Undiagnosed,Occasional,Part-Time,Theft,1
55,46,Mild,Frequent,Criminal Income,Murder,1
62,5,In Recovery,Occasional,Full-Time,Cybercrime,0
47,30,None,Occasional,Criminal Income,Dacoity,1
47,87,Mild,Occasional,Full-Time,Other,1
45,43,Severe,Addicted,Criminal Income,Fraud,1
43,31,Mild,Occasional,Full-Time,Kidnapping,0
49,63,None,Not Found,Part-Time,Other,1
18,38,Mild,Frequent,Part-Time,Drug Offense,1
16,61,Mild,Addicted,Criminal Income,Fraud,1
54,75,None,Occasional,Criminal Income,Assault,1
60,89,Mild,Frequent,Part-Time,Rape,1
28,38,None,Dealer,Part-Time,Murder,1
43,40,In Recovery,Not Found,Part-Time,Theft,1
66,25,None,Occasional,Criminal Income,Assault,1
56,88,None,Never,Full-Time,Fraud,1
43,51,Severe,Dealer,Full-Time,Theft,1
41,72,None,Occasional,Part-Time,Assault,1
28,99,None,Never,Unemployed,Dacoity,1
57,51,Severe,Dealer,Unemployed,Fraud,1
78,95,In Recovery,Not Found,Criminal Income,Dacoity,1
42,36,Severe,Not Found,Part-Time,Kidnapping,1
22,25,Mild,Never,Unemployed,Dacoity,1
60,26,In Recovery,Not Found,Criminal Income,Fraud,1
76,78,Mild,Never,Full-Time,Murder,1
30,98,Severe,Frequent,Part-Time,Other,1
25,10,Severe,Not Found,Unemployed,Murder,1
51,70,Undiagnosed,Never,Criminal Income,Other,1
23,9,Undiagnosed,Occasional,Part-Time,Assault,0
50,42,Severe,Addicted,Part-Time,Dacoity,1
19,31,In Recovery,Never,Part-Time,Other,0
40,66,Severe,Dealer,Unemployed,Other,1
71,38,Undiagnosed,Frequent,Criminal Income,Dacoity,1
61,71,None,Never,Full-Time,Drug Offense,1
52,68,Severe,Not Found,Criminal Income,Dacoity,1
75,0,In Recovery,Occasional,Unemployed,Rape,1
58,9,In Recovery,Not Found,Criminal Income,Cybercrime,0
18,68,Severe,Never,Criminal Income,Murder,1
52,23,Undiagnosed,Dealer,Unemployed,Assault,1
48,49,None,Never,Unemployed,Murder,1
62,32,Severe,Never,Unemployed,Assault,1
29,0,None,Not Found,Part-Time,Kidnapping,0
11,38,Undiagnosed,Frequent,Full-Time,Fraud,1
68,85,Undiagnosed,Occasional,Unemployed,Kidnapping,1
78,26,Severe,Dealer,Full-Time,Dacoity,1
39,8,In Recovery,Not Found,Part-Time,Rape,0
41,79,Mild,Dealer,Part-Time,Dacoity,1
75,74,Severe,Dealer,Unemployed,Dacoity,1
76,61,Mild,Dealer,Unemployed,Drug Offense,1
33,54,Severe,Occasional,Criminal Income,Cybercrime,1
33,4,Severe,Frequent,Part-Time,Cybercrime,0
20,17,In Recovery,Never,Full-Time,Kidnapping,0
51,65,Mild,Not Found,Full-Time,Assault,1
24,33,In Recovery,Frequent,Part-Time,Cybercrime,1
53,3,Severe,Dealer,Part-Time,Murder,1
41,72,Undiagnosed,Dealer,Full-Time,Theft,1
48,31,Mild,Never,Part-Time,Dacoity,0
63,16,Severe,Occasional,Unemployed,Rape,1
75,86,None,Dealer,Criminal Income,Cybercrime,1
38,23,In Recovery,Addicted,Full-Time,Assault,1
32,32,None,Dealer,Part-Time,Cybercrime,1
65,79,In Recovery,Dealer,Unemployed,Fraud,1
34,63,Mild,Frequent,Part-Time,Theft,1
11,1,Mild,Addicted,Unemployed,Theft,1
61,13,Undiagnosed,Occasional,Criminal Income,Cybercrime,1
14,78,Mild,Frequent,Full-Time,Other,1
38,90,Severe,Frequent,Part-Time,Cybercrime,1
23,12,Undiagnosed,Dealer,Part-Time,Assault,1
36,92,Undiagnosed,Not Found,Criminal Income,Theft,1
49,99,Severe,Frequent,Criminal Income,Assault,1
29,96,Mild,Never,Unemployed,Cybercrime,1
8,9,In Recovery,Dealer,Criminal Income,Other,1
31,52,Undiagnosed,Not Found,Part-Time,Cybercrime,1
35,7,Undiagnosed,Never,Full-Time,Dacoity,0
51,77,Mild,Never,Criminal Income,Theft,1
28,35,None,Never,Criminal Income,Murder,1
15,43,Mild,Never,Part-Time,Fraud,1
51,88,Undiagnosed,Dealer,Unemployed,Cybercrime,1
23,72,Undiagnosed,Frequent,Part-Time,Assault,1
48,25,In Recovery,Frequent,Unemployed,Drug Offense,1
13,26,Severe,Not Found,Criminal Income,Kidnapping,1
35,22,Mild,Addicted,Criminal Income,Kidnapping,1
38,100,Mild,Never,Part-Time,Fraud,1
27,19,Severe,Not Found,Part-Time,Drug Offense,1
68,8,Undiagnosed,Never,Part-Time,Other,0
36,76,Mild,Not Found,Criminal Income,Assault,1
54,57,In Recovery,Not Found,Unemployed,Other,1
78,90,In Recovery,Addicted,Full-Time,Assault,1
25,78,None,Frequent,Unemployed,Drug Offense,1
75,25,None,Never,Criminal Income,Drug Offense,1
44,42,Severe,Addicted,Criminal Income,Murder,1
47,10,In Recovery,Dealer,Full-Time,Fraud,1
26,43,Undiagnosed,Addicted,Unemployed,Theft,1
17,78,Undiagnosed,Frequent,Criminal Income,Cybercrime,1
22,29,Undiagnosed,Occasional,Unemployed,Theft,1
53,11,Undiagnosed,Frequent,Criminal Income,Assault,1
31,38,In Recovery,Never,Part-Time,Drug Offense,1
23,23,Undiagnosed,Never,Unemployed,Dacoity,1
16,12,Mild,Dealer,Full-Time,Rape,1
35,53,None,Not Found,Unemployed,Fraud,1
40,85,Mild,Addicted,Unemployed,Cybercrime,1
23,67,Mild,Not Found,Unemployed,Kidnapping,1
36,53,Severe,Not Found,Full-Time,Dacoity,1
59,53,In Recovery,Occasional,Criminal Income,Dacoity,1
27,83,Undiagnosed,Never,Part-Time,Fraud,1
37,24,Undiagnosed,Addicted,Part-Time,Cybercrime,1
24,91,Severe,Not Found,Criminal Income,Fraud,1
30,34,None,Occasional,Part-Time,Dacoity,0
75,21,Mild,Dealer,Part-Time,Cybercrime,1
11,47,Severe,Occasional,Criminal Income,Kidnapping,1
62,42,Severe,Occasional,Full-Time,Kidnapping,1
52,10,Severe,Never,Part-Time,Rape,1
43,49,Mild,Not Found,Part-Time,Kidnapping,1
71,99,Severe,Occasional,Full-Time,Murder,1
39,9,Mild,Never,Criminal Income,Assault,0
8,8,Undiagnosed,Occasional,Part-Time,Dacoity,1
53,33,None,Dealer,Full-Time,Rape,1
42,60,None,Occasional,Part-Time,Drug Offense,1
22,95,None,Not Found,Part-Time,Kidnapping,1
68,20,In Recovery,Not Found,Part-Time,Assault,1
55,70,Mild,Never,Unemployed,Murder,1
70,93,In Recovery,Not Found,Part-Time,Dacoity,1
38,39,Severe,Dealer,Full-Time,Kidnapping,1
77,51,Severe,Addicted,Criminal Income,Theft,1
39,30,None,Frequent,Part-Time,Kidnapping,1
41,61,In Recovery,Not Found,Full-Time,Other,1
16,88,None,Dealer,Full-Time,Assault,1
35,75,None,Dealer,Full-Time,Fraud,1
77,81,None,Occasional,Criminal Income,Drug Offense,1
27,44,None,Addicted,Criminal Income,Theft,1
17,89,Undiagnosed,Never,Criminal Income,Other,1
74,11,In Recovery,Not Found,Full-Time,Cybercrime,0
8,19,None,Occasional,Criminal Income,Fraud,1
13,89,In Recovery,Frequent,Part-Time,Dacoity,1
73,22,Severe,Not Found,Part-Time,Murder,1
47,27,None,Never,Unemployed,Fraud,0
79,0,None,Not Found,Unemployed,Assault,0
46,85,In Recovery,Addicted,Full-Time,Assault,1
48,23,Undiagnosed,Dealer,Unemployed,Kidnapping,1
62,49,Mild,Not Found,Full-Time,Murder,1
78,65,Severe,Dealer,Part-Time,Assault,1
41,4,In Recovery,Occasional,Full-Time,Dacoity,0
38,44,None,Occasional,Part-Time,Assault,1
23,81,Mild,Occasional,Unemployed,Kidnapping,1
74,22,In Recovery,Dealer,Unemployed,Fraud,1
26,87,Mild,Dealer,Part-Time,Rape,1
54,37,Severe,Never,Unemployed,Rape,1
32,56,Severe,Never,Full-Time,Drug Offense,1
50,50,In Recovery,Addicted,Part-Time,Cybercrime,1
79,59,Mild,Frequent,Unemployed,Cybercrime,1
52,69,None,Not Found,Unemployed,Murder,1
14,18,Undiagnosed,Never,Unemployed,Kidnapping,1
46,21,Severe,Frequent,Part-Time,Rape,1
8,64,Severe,Not Found,Criminal Income,Dacoity,1
65,90,Mild,Dealer,Full-Time,Drug Offense,1
13,58,Severe,Not Found,Full-Time,Assault,1
74,57,Mild,Occasional,Full-Time,Fraud,1
42,53,Undiagnosed,Frequent,Unemployed,Assault,1
21,32,None,Addicted,Full-Time,Fraud,1
13,76,None,Frequent,Criminal Income,Drug Offense,1
42,71,None,Frequent,Full-Time,Kidnapping,1
68,85,Severe,Never,Criminal Income,Drug Offense,1
27,96,Undiagnosed,Never,Criminal Income,Drug Offense,1
18,84,Severe,Frequent,Criminal Income,Other,1
49,62,Severe,Not Found,Part-Time,Other,1
79,30,In Recovery,Not Found,Unemployed,Other,1
49,3,Undiagnosed,Occasional,Criminal Income,Fraud,0
71,51,Severe,Not Found,Criminal Income,Drug Offense,1
45,44,Mild,Dealer,Criminal Income,Theft,1
8,44,Severe,Dealer,Part-Time,Murder,1
38,91,Severe,Frequent,Criminal Income,Cybercrime,1
10,44,Undiagnosed,Never,Part-Time,Cybercrime,1
35,25,Undiagnosed,Not Found,Criminal Income,Kidnapping,1
75,65,In Recovery,Occasional,Full-Time,Other,1
24,100,None,Dealer,Criminal Income,Kidnapping,1
60,56,Severe,Never,Criminal Income,Theft,1
20,40,Mild,Never,Part-Time,Theft,0
33,45,Mild,Not Found,Full-Time,Other,1
14,32,Undiagnosed,Addicted,Full-Time,Cybercrime,1
28,74,Severe,Frequent,Part-Time,Murder,1
64,69,Undiagnosed,Occasional,Part-Time,Assault,1
75,37,Severe,Addicted,Part-Time,Kidnapping,1
36,70,None,Addicted,Unemployed,Cybercrime,1
41,58,Severe,Addicted,Part-Time,Assault,1
73,54,Severe,Dealer,Criminal Income,Theft,1
75,3,Severe,Addicted,Unemployed,Drug Offense,1
24,96,Mild,Occasional,Full-Time,Assault,1
28,92,Undiagnosed,Occasional,Criminal Income,Theft,1
58,83,In Recovery,Not Found,Full-Time,Assault,1
62,39,Mild,Never,Criminal Income,Fraud,1
40,13,None,Not Found,Unemployed,Theft,0
75,64,In Recovery,Addicted,Full-Time,Murder,1
78,100,In Recovery,Dealer,Unemployed,Kidnapping,1
63,43,In Recovery,Dealer,Full-Time,Drug Offense,1
74,78,None,Addicted,Part-Time,Theft,1
42,16,None,Never,Part-Time,Rape,0
77,48,Mild,Dealer,Part-Time,Dacoity,1
40,30,Undiagnosed,Never,Part-Time,Assault,1
20,44,Severe,Occasional,Part-Time,Other,1
23,66,In Recovery,Addicted,Criminal Income,Cybercrime,1
8,66,None,Frequent,Criminal Income,Theft,1
66,95,Undiagnosed,Not Found,Criminal Income,Assault,1
41,32,Undiagnosed,Not Found,Criminal Income,Rape,1
63,5,In Recovery,Occasional,Criminal Income,Theft,0
30,10,In Recovery,Dealer,Part-Time,Dacoity,1
45,37,In Recovery,Frequent,Criminal Income,Kidnapping,1
36,71,In Recovery,Frequent,Criminal Income,Cybercrime,1
12,11,In Recovery,Dealer,Criminal Income,Rape,1
29,85,None,Occasional,Criminal Income,Drug Offense,1
51,18,Undiagnosed,Addicted,Part-Time,Dacoity,1
70,95,Mild,Addicted,Part-Time,Murder,1
36,31,Mild,Addicted,Part-Time,Assault,1
14,32,None,Frequent,Part-Time,Drug Offense,1
27,7,Mild,Frequent,Criminal Income,Kidnapping,1
33,56,In Recovery,Not Found,Unemployed,Cybercrime,1
36,83,Severe,Addicted,Part-Time,Drug Offense,1
56,8,None,Dealer,Criminal Income,Dacoity,1
59,76,Mild,Never,Part-Time,Dacoity,1
78,52,In Recovery,Occasional,Unemployed,Dacoity,1
77,27,Undiagnosed,Never,Part-Time,Dacoity,1
37,19,In Recovery,Occasional,Part-Time,Dacoity,0
38,4,Severe,Dealer,Criminal Income,Other,1
44,25,Severe,Occasional,Unemployed,Other,1
53,60,Severe,Occasional,Criminal Income,Dacoity,1
47,18,Mild,Frequent,Unemployed,Cybercrime,1
55,18,Mild,Dealer,Criminal Income,Kidnapping,1
20,65,In Recovery,Addicted,Criminal Income,Drug Offense,1
50,60,In Recovery,Not Found,Criminal Income,Other,1
63,17,Severe,Never,Unemployed,Other,1
14,32,Mild,Dealer,Criminal Income,Kidnapping,1
65,80,Severe,Dealer,Part-Time,Other,1
18,39,Severe,Not Found,Criminal Income,Kidnapping,1
55,28,Severe,Occasional,Full-Time,Theft,1
46,98,Undiagnosed,Dealer,Part-Time,Other,1
21,66,Mild,Not Found,Criminal Income,Assault,1
71,22,None,Dealer,Full-Time,Theft,1
30,86,In Recovery,Never,Part-Time,Theft,1
17,93,Undiagnosed,Frequent,Criminal Income,Drug Offense,1
15,54,None,Dealer,Unemployed,Kidnapping,1
62,72,Undiagnosed,Frequent,Unemployed,Theft,1
8,55,Severe,Not Found,Criminal Income,Assault,1
67,48,None,Addicted,Part-Time,Assault,1
34,22,Mild,Frequent,Unemployed,Theft,1
66,47,In Recovery,Not Found,Criminal Income,Kidnapping,1
71,85,Mild,Dealer,Criminal Income,Kidnapping,1
15,12,Mild,Dealer,Part-Time,Rape,1
15,91,Severe,Addicted,Full-Time,Assault,1
36,69,Severe,Frequent,Part-Time,Assault,1
28,95,Undiagnosed,Addicted,Full-Time,Drug Offense,1
17,93,Severe,Never,Criminal Income,Kidnapping,1
15,66,Severe,Dealer,Part-Time,Assault,1
66,79,Undiagnosed,Dealer,Part-Time,Dacoity,1
53,30,None,Not Found,Unemployed,Murder,1
9,81,None,Addicted,Unemployed,Kidnapping,1
71,23,Undiagnosed,Not Found,Part-Time,Theft,1
43,2,Undiagnosed,Never,Criminal Income,Drug Offense,0
10,5,Mild,Never,Part-Time,Dacoity,0
40,13,Undiagnosed,Frequent,Full-Time,Cybercrime,0
58,11,In Recovery,Addicted,Unemployed,Assault,1
8,8,None,Frequent,Full-Time,Theft,0
28,32,Severe,Frequent,Unemployed,Dacoity,1
34,32,Undiagnosed,Occasional,Criminal Income,Cybercrime,1
47,63,Undiagnosed,Addicted,Full-Time,Murder,1
46,78,None,Addicted,Unemployed,Assault,1
36,16,In Recovery,Dealer,Unemployed,Murder,1
75,19,Severe,Not Found,Part-Time,Fraud,1
43,75,Undiagnosed,Never,Unemployed,Kidnapping,1
63,41,None,Occasional,Criminal Income,Murder,1
25,18,In Recovery,Never,Criminal Income,Kidnapping,1
52,78,None,Occasional,Full-Time,Other,1
79,30,Severe,Dealer,Part-Time,Other,1
80,17,Undiagnosed,Dealer,Criminal Income,Dacoity,1
33,71,None,Dealer,Unemployed,Kidnapping,1
12,25,Mild,Dealer,Full-Time,Rape,1
61,68,Undiagnosed,Dealer,Part-Time,Fraud,1
25,64,In Recovery,Never,Criminal Income,Drug Offense,1
24,5,Mild,Addicted,Criminal Income,Drug Offense,1
39,80,None,Never,Full-Time,Theft,1
40,11,Undiagnosed,Not Found,Full-Time,Dacoity,0
66,33,Undiagnosed,Never,Unemployed,Other,1
55,52,In Recovery,Not Found,Unemployed,Kidnapping,1
14,91,In Recovery,Not Found,Unemployed,Rape,1
19,53,Undiagnosed,Dealer,Criminal Income,Other,1
14,63,In Recovery,Frequent,Unemployed,Other,1
23,88,None,Frequent,Full-Time,Assault,1
36,84,In Recovery,Never,Part-Time,Rape,1
38,92,Mild,Not Found,Full-Time,Fraud,1
24,85,Undiagnosed,Not Found,Criminal Income,Drug Offense,1
71,99,Undiagnosed,Frequent,Criminal Income,Rape,1
21,6,Severe,Addicted,Full-Time,Assault,1
28,69,Severe,Dealer,Part-Time,Kidnapping,1
41,40,Severe,Occasional,Unemployed,Cybercrime,1
18,1,Severe,Never,Criminal Income,Kidnapping,1
8,79,In Recovery,Frequent,Criminal Income,Dacoity,1
26,87,Undiagnosed,Frequent,Unemployed,Other,1
27,26,None,Addicted,Criminal Income,Drug Offense,1
80,58,None,Not Found,Criminal Income,Murder,1
55,55,Mild,Not Found,Part-Time,Murder,1
12,58,Mild,Frequent,Part-Time,Rape,1
20,74,In Recovery,Occasional,Unemployed,Fraud,1
48,14,Undiagnosed,Never,Unemployed,Dacoity,0
61,38,Mild,Occasional,Criminal Income,Assault,1
51,16,None,Frequent,Criminal Income,Rape,1
53,47,Undiagnosed,Not Found,Unemployed,Theft,1
12,22,In Recovery,Never,Part-Time,Murder,1
55,70,In Recovery,Dealer,Criminal Income,Drug Offense,1
77,61,In Recovery,Addicted,Criminal Income,Cybercrime,1
71,78,Undiagnosed,Not Found,Part-Time,Assault,1
73,68,In Recovery,Occasional,Criminal Income,Assault,1
68,73,Severe,Dealer,Part-Time,Dacoity,1
28,23,In Recovery,Dealer,Part-Time,Theft,1
46,39,Severe,Dealer,Criminal Income,Other,1
30,2,None,Occasional,Part-Time,Murder,0
35,6,In Recovery,Addicted,Criminal Income,Theft,1
21,50,Undiagnosed,Dealer,Criminal Income,Fraud,1
57,63,Severe,Occasional,Part-Time,Rape,1
32,94,Severe,Occasional,Full-Time,Other,1
34,8,Mild,Dealer,Full-Time,Other,1
47,19,Undiagnosed,Not Found,Unemployed,Assault,1
46,55,In Recovery,Frequent,Part-Time,Theft,1
50,10,Mild,Frequent,Unemployed,Dacoity,1
76,67,None,Occasional,Part-Time,Dacoity,1
48,17,Severe,Frequent,Part-Time,Rape,1
63,87,None,Not Found,Full-Time,Drug Offense,1
34,48,None,Not Found,Unemployed,Cybercrime,1
72,70,Undiagnosed,Addicted,Unemployed,Cybercrime,1
69,28,Severe,Dealer,Part-Time,Rape,1
44,94,None,Occasional,Unemployed,Murder,1
72,34,In Recovery,Frequent,Full-Time,Dacoity,1
28,49,None,Never,Full-Time,Cybercrime,0
48,12,None,Occasional,Criminal Income,Rape,1
29,14,Severe,Frequent,Criminal Income,Dacoity,1
78,11,Mild,Occasional,Part-Time,Rape,1
21,20,Mild,Frequent,Unemployed,Murder,1
74,68,None,Never,Part-Time,Fraud,1
74,66,In Recovery,Occasional,Criminal Income,Drug Offense,1
71,29,Undiagnosed,Not Found,Part-Time,Cybercrime,1
80,56,None,Addicted,Unemployed,Other,1
48,67,Undiagnosed,Not Found,Full-Time,Rape,1
46,51,None,Occasional,Criminal Income,Cybercrime,1
73,55,Severe,Never,Part-Time,Rape,1
63,88,Severe,Addicted,Full-Time,Assault,1
37,30,In Recovery,Never,Part-Time,Rape,1
19,43,None,Occasional,Criminal Income,Drug Offense,1
31,49,Severe,Never,Unemployed,Cybercrime,1
46,16,Severe,Occasional,Full-Time,Kidnapping,1
52,78,Severe,Not Found,Part-Time,Kidnapping,1
25,56,Mild,Never,Part-Time,Fraud,1
49,87,Mild,Never,Unemployed,Dacoity,1
76,15,Undiagnosed,Addicted,Unemployed,Dacoity,1
35,89,Mild,Addicted,Unemployed,Drug Offense,1
10,12,Severe,Dealer,Full-Time,Drug Offense,1
74,2,None,Frequent,Unemployed,Rape,1
59,13,Mild,Not Found,Part-Time,Dacoity,0
63,5,Mild,Never,Criminal Income,Murder,1
36,99,In Recovery,Addicted,Part-Time,Other,1
38,99,Severe,Frequent,Criminal Income,Cybercrime,1
43,39,None,Occasional,Full-Time,Other,0
43,89,Undiagnosed,Dealer,Part-Time,Cybercrime,1
71,98,In Recovery,Never,Unemployed,Kidnapping,1
76,98,Severe,Not Found,Criminal Income,Cybercrime,1
32,49,In Recovery,Occasional,Full-Time,Fraud,1
56,81,None,Addicted,Part-Time,Theft,1
44,24,In Recovery,Addicted,Criminal Income,Theft,1
51,85,Mild,Occasional,Unemployed,Assault,1
26,69,In Recovery,Frequent,Unemployed,Other,1
35,61,Undiagnosed,Dealer,Unemployed,Fraud,1
75,92,None,Not Found,Full-Time,Cybercrime,1
46,65,Undiagnosed,Not Found,Part-Time,Assault,1
42,91,Mild,Dealer,Full-Time,Fraud,1
22,40,Severe,Addicted,Criminal Income,Fraud,1
27,59,None,Addicted,Full-Time,Other,1
56,62,Mild,Addicted,Unemployed,Rape,1
18,82,In Recovery,Occasional,Part-Time,Cybercrime,1
79,34,Severe,Not Found,Unemployed,Other,1
70,46,Mild,Frequent,Unemployed,Fraud,1
31,4,None,Frequent,Criminal Income,Murder,1
19,95,In Recovery,Never,Unemployed,Fraud,1
30,39,Severe,Addicted,Criminal Income,Kidnapping,1
53,85,Undiagnosed,Occasional,Criminal Income,Fraud,1
15,100,Undiagnosed,Occasional,Criminal Income,Rape,1
40,11,None,Occasional,Full-Time,Murder,0
52,2,In Recovery,Occasional,Unemployed,Rape,0
44,15,Mild,Frequent,Criminal Income,Dacoity,1
13,80,Undiagnosed,Not Found,Unemployed,Kidnapping,1
73,78,Mild,Not Found,Unemployed,Cybercrime,1
27,7,Undiagnosed,Frequent,Unemployed,Murder,1
49,55,Mild,Frequent,Unemployed,Other,1
70,83,In Recovery,Not Found,Full-Time,Rape,1
30,70,None,Not Found,Full-Time,Theft,1
16,78,In Recovery,Never,Full-Time,Kidnapping,1
36,82,None,Not Found,Criminal Income,Rape,1
45,96,In Recovery,Dealer,Criminal Income,Cybercrime,1
10,70,Mild,Addicted,Full-Time,Other,1
58,22,Mild,Occasional,Part-Time,Dacoity,0
10,3,Mild,Not Found,Full-Time,Dacoity,0
37,23,Mild,Never,Part-Time,Cybercrime,0
24,80,Mild,Not Found,Part-Time,Murder,1
25,30,In Recovery,Occasional,Full-Time,Kidnapping,0
28,21,Mild,Addicted,Full-Time,Cybercrime,1
29,51,Undiagnosed,Not Found,Part-Time,Rape,1
56,64,Undiagnosed,Frequent,Unemployed,Murder,1
75,100,Severe,Dealer,Part-Time,Theft,1
13,89,Undiagnosed,Not Found,Part-Time,Rape,1
47,23,Undiagnosed,Frequent,Unemployed,Assault,1
73,17,Mild,Dealer,Full-Time,Other,1
23,13,Undiagnosed,Dealer,Unemployed,Rape,1
9,65,Mild,Never,Part-Time,Dacoity,1
32,58,None,Addicted,Full-Time,Drug Offense,1
42,39,In Recovery,Addicted,Criminal Income,Rape,1
53,90,In Recovery,Addicted,Part-Time,Assault,1
29,72,Severe,Not Found,Full-Time,Cybercrime,1
70,49,Severe,Not Found,Part-Time,Rape,1
58,69,Undiagnosed,Frequent,Unemployed,Cybercrime,1
63,65,None,Addicted,Unemployed,Assault,1
62,76,Undiagnosed,Occasional,Unemployed,Other,1
31,77,In Recovery,Frequent,Full-Time,Cybercrime,1
54,80,Mild,Never,Unemployed,Murder,1
29,20,Undiagnosed,Dealer,Unemployed,Other,1
